customer_id,age,gender,annual_income,city,membership_type,purchase_amount,quantity,signup_date,payment_method,rating,notes
100120,35.0,female,,nan,nan,67.35,1,29 Mar 2023,Credit Card,2,
100109,48.0,Female,46697.51, Mumbai,Silver,99.77,2,11-10-2021,Debit Card,3,
100648,21.0,MALE,49575.4,Chennai,Silver,173.6,1,2019-06-19,COD,3,
100590,57.0,Female,72179.13,Mumbai ,Bronze,171.55,8,01-29-2023,Debit Card,3,
100375,45.0,Male,45603.99,Bengaluru,Bronze,134.79,6,07-17-2022,UPI,1,
100911,29.0,Female,,Chennai ,Silver,342.82,2,17/12/2020,UPI,1,
100719,34.0,Male,26804.74,Bengaluru ,Bronze,93.99,7,15/06/2022,Net Banking,5,
100745,39.0,Male,66351.11, Bengaluru,Bronze,108.17,7,16 Jul 2022,Credit Card,1,
100495,34.0,nan,49518.28,Delhi ,Silver,122.63,6,01 Jul 2020,Net Banking,2,
100405,44.0,nan,16215.01,Hyderabad ,Silver,138.69,1,2022-06-17,Net Banking,4,
100275,57.0,Male,52589.63, Hyderabad,Bronze,198.26,2,2023-10-26,Credit Card,2,
100079,46.0,Female,42540.86,nan,Silver,66.37,1,21/03/2023,COD,4,
100722,52.0,F,63733.6,Hyderabad,Bronze,90.8,4,09-21-2023,Credit Card,1,
100645,34.0,male,51420.41,delhi,nan,348.42,6,15/03/2021,nan,1,
100615,,male,84887.01,delhi,Bronze,112.53,3,2019-03-25,Net Banking,5,
100873,150.0,Male,79636.27,nan,Silver,113.09,3,2019-06-08,Credit Card,1,
100692,35.0,nan,58052.34,nan,Gold,171.3,6,01-22-2021,Net Banking,4,
100091,46.0,Male,99447.2,Mumbai,Gold,25.67,7,13 Jun 2019,UPI,1,
100102,54.0,Female,,Delhi,Silver,$23.85,7,2022-04-22,Debit Card,4,
100095,18.0,Male,61542.58,Bengaluru ,Silver,185.22,8,10/05/2022,Credit Card,4,
100578,53.0,Male,30300.48,Bengaluru ,Silver,4.67,6,09 Sep 2022,COD,5,
100538,52.0,female,83105.19,hyderabad,Bronze,87.96,7,12 Sep 2021,Debit Card,4,
100042,45.0,Female,78175.95,nan,Bronze,224.3,6,11-26-2022,Credit Card,3,
100454,63.0,Male,,HYDERABAD,Silver,76.16,1,2021-05-04,Credit Card,5,
100621,33.0,Female,108173.18,bengaluru,nan,175.14,4,12/06/2020,COD,5,
100714,38.0,Female,35289.22,CHENNAI,Silver,36.13,5,11/02/2020,Credit Card,1,N/A
100035,45.0,Male,87453.57, Mumbai,Silver,125.82,3,05 Oct 2020,UPI,1,N/A
100640,44.0,nan,31639.31,CHENNAI,Bronze,80.27,9,,COD,5,
100036,52.0,Female,63116.11,MUMBAI,Silver,102.01,5,2019-01-07,Credit Card,5,
100149,51.0,Male,80450.8,nan,Silver,121.82,9,07/03/2019,Credit Card,2,
100456,40.0,Female,107137.69, Delhi,Bronze,15.74,2,08-22-2021,Debit Card,4,N/A
100886,41.0,Male,63779.65,Delhi,Bronze,156.5,1,04 Sep 2021,UPI,1,
100678,,nan,70824.1,Hyderabad,Bronze,300.25,2,2022-06-18,UPI,4,
100487,29.0,Female,52908.03,bengaluru,Bronze,67.83,7,01 Jun 2019,Credit Card,5,
100686,32.0,Male,70363.26,mumbai,Bronze,111.67,3,25 Jul 2022,UPI,2,
100308,54.0,female,54069.24, Bengaluru,nan,167.63,6,2023-12-02,Net Banking,5,
100239,25.0,female,,delhi,Gold,110.79,4,04-21-2022,COD,2,
100396,40.0,Female,87387.94, Bengaluru,Bronze,102.47,4,08/04/2020,COD,4,
100735,41.0,M,61475.74,nan,Gold,277.65,8,21 Sep 2021,Debit Card,5,
100823,24.0,female,54674.05,Chennai ,Gold,84.22,6,2019-03-27,Debit Card,3,
100813,41.0,Female,86319.55,Delhi,nan,236.74,9,16 Mar 2019,Net Banking,4,
100465,25.0,Female,45839.77,hyderabad,Bronze,47.65,-1,28/11/2020,UPI,3,
100817,33.0,Female,63871.18,mumbai,Silver,465.45,3,,Debit Card,2,
100529,41.0,female,89637.5,chennai,Silver,96.1,9,08-22-2022,Credit Card,2,
100018,26.0,female,48874.36,HYDERABAD,Bronze,46.6,5,08-27-2022,Credit Card,5,
100710,46.0,Female,89657.27,nan,Gold,25000.0,-1,10-08-2020,COD,4,
100371,-5.0,Male,61198.57,Delhi,Bronze,90.68,1,2022-02-14,Credit Card,4,
100242,37.0,F,90833.73,bengaluru,Silver,143.15,7,12/07/2023,Debit Card,1,N/A
100455,39.0,Female,87675.79,BENGALURU,Silver,139.28,4,04-06-2019,Debit Card,1,
100458,28.0,male,64663.27,Hyderabad,Bronze,152.35,9,04-29-2020,UPI,3,
100066,48.0,Female,55748.89, Chennai,Bronze,121.04,9,07-06-2021,Debit Card,2,
100192,36 yrs,female,91023.17,nan,Silver,69.82,9,17/11/2023,UPI,4,
100839,,M,37479.13,mumbai,Bronze,135.57,4,16/07/2023,Debit Card,3,
100332,46.0,MALE,,nan,Bronze,81.55,8,27/01/2021,UPI,3,
100639,45.0,Female,38382.45,DELHI,Bronze,238.97,4,2019-08-13,UPI,1,
100256,47.0,Female,,CHENNAI,Bronze,115.29,3,26/11/2023,UPI,4,
100743,26.0,Female,42195.86, Chennai,Bronze,44.33,2,27/05/2022,COD,1,
100757,27.0,Female,61608.99,Bengaluru ,nan,130.06,4,2023-08-09,Debit Card,3,
100758,48.0,M,101825.11,nan,Bronze,158.37,4,13/12/2022,Credit Card,3,
100501,54.0,Male,56335.35,BENGALURU,Silver,72.66,8,2020-01-23,Debit Card,4,
100500,20.0,Female,55779.47,nan,Bronze,194.96,7,02-24-2023,UPI,5,
100464,18.0,Male,60147.62,nan,Bronze,46.5,3,11-11-2023,COD,5,
100844,37.0,MALE,65144.14,nan,Silver,208.13,3,20 Jun 2022,UPI,1,
100574,27.0,male,64088.84, Bengaluru,Platinum,72.42,8,11 Feb 2023,Debit Card,1,
100528,,Female,54038.54,HYDERABAD,Bronze,215.82,6,23/11/2022,Credit Card,5,
100655,45.0,Male,61897.34, Chennai,Platinum,293.9,1,05-24-2023,UPI,1,
100190,58.0,female,54569.23,nan,Bronze,28.11,3,03-29-2022,Debit Card,1,
100518,30 yrs,Male,92554.72, Hyderabad,Gold,39.26,1,27 Nov 2019,UPI,4,
100160,,MALE,66960.04,Delhi,Silver,286.42,6,,Net Banking,3,
100415,35.0,Female,52718.3,Hyderabad ,Gold,12.24,4,13 Jan 2020,crypto,4,
100672,41.0,Male,45612.03,nan,Bronze,299.72,,11 Feb 2020,Credit Card,1,
100560,27.0,male,, Bengaluru,nan,$180.58,2,30/04/2020,Net Banking,5,
100594,18.0,Male,87671.37,CHENNAI,Bronze,92.76,9,06 Dec 2022,Credit Card,3,
100259,36.0,Female,70545.79,chennai,Bronze,33.38,4,10 Apr 2022,Debit Card,5,
100155,37.0,Male,68863.63,delhi,Bronze,86.55,3,17 Aug 2019,Debit Card,1,
100336,,Male,103707.62,BENGALURU,Bronze,167.14,4,16/01/2023,Net Banking,2,
100014,52.0,Female,49280.47,Delhi,Silver,24.01,5,10-11-2023,Net Banking,1,
100912,43.0,nan,80047.67,Hyderabad,Silver,2.73,5,24/04/2022,Debit Card,3,
100157,40.0,MALE,54524.54,CHENNAI,Bronze,18.11,1,2021-11-09,Net Banking,3,
100429,21.0,Female,76774.07,BENGALURU,Bronze,41.09,4,2023-07-09,Credit Card,1,
100825,18.0,Male,,delhi,Silver,160.56,7,05/10/2022,UPI,4,
100268,42.0,nan,46949.87,chennai,Gold,347.76,8,03-26-2023,Credit Card,4,
100539,23.0,Male,,Mumbai ,Silver,300.85,,2020-02-12,Debit Card,5,
100237,23.0,male,73753.11,delhi,Platinum,197.75,5,2023-09-07,UPI,5,
100945,41.0,Male,103891.96,Chennai,Platinum,319.5,5,2021-11-10,UPI,5,
100480,,Female,54298.26,CHENNAI,Silver,147.53,2,2022-05-13,Net Banking,2,
100786,41.0,MALE,77775.19,Hyderabad,Silver,179.85,3,05-19-2023,Debit Card,4,
100446,20.0,Male,50100.34,HYDERABAD,Silver,203.67,5,12-16-2023,Credit Card,2,
100060,50.0,Female,91164.93,Mumbai ,nan,215.55,8,16 May 2020,Debit Card,2,
100869,31.0,F,999999999.0,delhi,Gold,68.54,2,07 Jul 2019,nan,1,
100176,40.0,Female,46146.4, Bengaluru,Gold,95.4,1,21 Oct 2023,Debit Card,0,
100712,46.0,Female,84912.7,chennai,Gold,117.98,5,01 Jun 2021,COD,4,
100450,43.0,Male,27776.13,delhi,Platinum,17.41,6,2023-09-04,COD,1,
100121,26.0,Female,77588.08, Bengaluru,Gold,333.56,6,29/09/2022,COD,3,
100795,19.0,M,51119.13, Delhi,Bronze,96.25,1,06 Jan 2019,Debit Card,2,
100181,54.0,M,79629.85,Chennai ,Bronze,145.07,2,2019-07-15,Debit Card,5,
100312,43.0,female,87098.81,bengaluru,Bronze,85.32,3,13 Nov 2021,Debit Card,2,
100004,49.0,Female,38192.88,Bengaluru ,Silver,11.05,6,11 Jun 2021,COD,1,
100195,25.0,Male,89944.23,BENGALURU,Silver,154.21,2,07-07-2023,Net Banking,5,
100438,25.0,Female,17556.09,MUMBAI,Bronze,153.93,2,09/11/2022,Debit Card,2,
100684,32.0,Female,64585.87, Chennai,nan,$52.5,4,03-12-2020,Debit Card,3,
100800,38.0,female,84354.51,delhi,Silver,128.77,3,2020-06-06,Credit Card,1,
100747,60.0,male,68238.39,hyderabad,Gold,90.87,5,06 Feb 2022,Debit Card,3,
100626,32.0,MALE,89757.67, Mumbai,Platinum,130.75,8,2020-10-03,Debit Card,3,
100693,49.0,MALE,36423.69,Bengaluru,Platinum,99.35,6,20 Apr 2023,UPI,4,
100552,45.0,M,60724.06, Delhi,Bronze,146.82,6,29/12/2020,Debit Card,4,
100249,73.0,Male,35288.76,Chennai,Platinum,352.73,4,2022-01-13,Credit Card,4,
100660,34.0,Male,66803.14,nan,Gold,58.08,6,05-14-2023,UPI,3,
100003,47.0,Male,98931.73,Hyderabad ,Bronze,19.83,9,2020-09-13,Net Banking,3,
100025,33.0,Male,72840.22,nan,nan,146.23,4,2021-09-19,Net Banking,3,
100861,26 yrs,Female,84613.47,Delhi ,Platinum,68.84,4,03-11-2019,UPI,1,
100777,25.0,Male,55602.7, Mumbai,Bronze,22.85,9,10/04/2020,UPI,5,
100858,,Female,31712.87,BENGALURU,Bronze,81.3,9,29 Mar 2022,Credit Card,5,
100359,28.0,Female,84993.48,chennai,Gold,95.04,8,07/09/2021,crypto,5,N/A
100770,58.0,Male,47941.24,hyderabad,Gold,-100.0,6,06-14-2019,Debit Card,5,
100074,44.0,F,,Mumbai,Bronze,215.13,6,19 Jun 2020,COD,5,
100118,38.0,Male,52413.11,chennai,Silver,9.29,1,27 Oct 2023,UPI,3,
100939,49.0,Male,75877.54,nan,Bronze,69.79,7,13/09/2021,Debit Card,2,
100536,46.0,Male,95434.01,DELHI,Gold,137.5,7,03-24-2019,Debit Card,5,
100112,41.0,Female,41926.5, Chennai,Gold,102.43,9,20 Mar 2021,Credit Card,4,
100510,44.0,Male,101330.54,Hyderabad,Silver,194.58,9,10-05-2021,Credit Card,4,
100513,39 yrs,nan,64283.51,Mumbai,Bronze,159.12,9,27/02/2019,Debit Card,3,
100917,55.0,female,67833.13, Chennai,Gold,33.48,7,2020-11-22,UPI,5,
100556,,Female,63599.74, Chennai,Gold,120.23,1,,COD,5,
100553,42.0,nan,28990.43,MUMBAI,Gold,82.26,7,26 Dec 2022,Credit Card,4,
100355,51.0,F,75334.06,Hyderabad ,Gold,45.49,8,16 Sep 2020,nan,1,
100509,31.0,Male,59398.63,Bengaluru,Silver,258.02,5,2023-12-14,Net Banking,1,
100009,38.0,female,74773.37,mumbai,Gold,187.45,8,05-03-2020,Net Banking,4,
100582,24.0,male,56327.45,bengaluru,Platinum,42.28,8,06-17-2019,Debit Card,3,
100057,35.0,female,12962.23, Bengaluru,nan,88.02,8,03-15-2019,Debit Card,4,
100577,54.0,Female,105412.79, Bengaluru,Bronze,84.84,5,2021-10-05,Debit Card,5,
100706,26.0,male,96315.59,mumbai,Bronze,66.96,6,23/12/2019,UPI,4,
100652,36.0,M,95747.15,BENGALURU,Bronze,$168.54,7,,Credit Card,3,
100085,24.0,Male,76662.16,hyderabad,nan,81.32,,2019-12-08,COD,4,
100229,28.0,Female,48732.19,Chennai ,Bronze,43.21,2,2019-08-15,nan,3,
100160,,MALE,66960.04,Delhi,Silver,286.42,6,,Net Banking,3,
100206,37.0,Female,74620.57,chennai,Bronze,55.05,2,02/06/2023,Credit Card,2,
100126,42.0,Female,82416.46,nan,Silver,107.92,9,2022-01-05,Credit Card,5,
100689,32.0,Female,73996.31,delhi,Gold,202.4,,09 Apr 2023,Debit Card,4,
100888,33.0,nan,58207.9, Delhi,Silver,295.34,2,2023-07-21,Net Banking,3,
100474,40.0,Female,81386.86, Delhi,Silver,453.66,4,13/02/2019,Credit Card,3,
100245,64.0,Female,65277.96,nan,Bronze,12.6,8,28 Jul 2019,Debit Card,4,
100598,48.0,Male,28807.66,mumbai,Silver,181.89,2,15 Sep 2021,Debit Card,2,
100798,51.0,Female,81514.27,MUMBAI,Platinum,45.03,5,07-14-2021,COD,3,
100196,27.0,Female,121252.98,Delhi,Bronze,11.73,4,2020-07-11,Credit Card,2,
100203,39.0,Female,40667.93, Delhi,Gold,82.63,9,18/05/2022,UPI,1,
100082,30.0,female,88178.99,chennai,Gold,137.02,1,10-21-2019,UPI,4,
100485,37.0,Male,66791.86,Hyderabad ,Bronze,399.54,5,24/03/2019,Debit Card,1,
100444,54.0,male,87199.39,Chennai ,Bronze,22.76,5,07-22-2021,COD,5,
100579,35.0,Male,74995.76,Mumbai,Bronze,88.02,8,03 Jan 2019,Credit Card,5,
100202,55.0,nan,59006.94,mumbai,Bronze,356.73,3,25/07/2019,Credit Card,1,
100187,40.0,Male,48810.93,Mumbai ,Bronze,33.31,4,04-01-2022,Debit Card,1,
100517,46.0,Female,81959.17, Delhi,Bronze,224.62,1,22 Dec 2019,Debit Card,1,
100822,55.0,Male,49284.07,Chennai ,Gold,63.49,6,03-16-2023,Credit Card,2,
100777,25.0,Male,55602.7, Mumbai,Bronze,22.85,9,10/04/2020,UPI,5,
100217,44.0,Female,55631.49,hyderabad,Bronze,143.66,9,02-13-2019,COD,4,
100051,41.0,Male,49200.27,Mumbai,Gold,303.01,3,28 Jan 2023,Net Banking,5,
100784,49.0,male,86580.19,Mumbai ,nan,42.66,5,2020-08-20,UPI,5,
100673,29.0,Female,45863.27,delhi,Bronze,51.54,2,2020-04-11,Credit Card,1,
100532,27.0,Male,85173.37,DELHI,Gold,186.84,8,03-06-2020,Net Banking,2,
100315,48.0,Female,72260.18, Mumbai,Gold,14.12,9,01-31-2019,Debit Card,1,
100201,42.0,Male,43448.34,BENGALURU,Platinum,20.58,5,2020-06-01,Credit Card,-1,
100224,25.0,M,68460.14,Hyderabad,Bronze,109.86,2,2023-06-19,Credit Card,5,
100588,28.0,Male,,Hyderabad ,Gold,86.1,7,15 Apr 2021,COD,1,
100154,32.0,Male,64439.64,nan,Silver,61.39,5,12 Dec 2019,COD,3,
100700,36 yrs,Male,,chennai,nan,25000.0,9,18 May 2023,Debit Card,1,
100827,38.0,Female,59849.58,nan,Silver,51.53,7,10/05/2023,crypto,1,
100234,52.0,Female,,Mumbai,Bronze,52.92,8,23 Jun 2020,UPI,5,
100585,47.0,Male,57399.24,CHENNAI,Gold,118.47,1,2021-09-19,Debit Card,5,
100366,56.0,M,120348.72,Bengaluru ,Silver,61.51,6,2021-07-17,COD,1,N/A
100431,26.0,female,84603.82,Hyderabad,Platinum,$154.12,1,23/06/2022,UPI,4,
100875,23.0,Male,44094.74,BENGALURU,Silver,180.72,4,12 Apr 2022,UPI,3,
100551,43.0,Male,100645.88,Chennai ,Gold,153.15,5,27/10/2021,UPI,5,
100609,18.0,male,92446.85,CHENNAI,nan,53.32,4,2019-12-22,nan,5,
100208,23.0,M,77060.14,BENGALURU,Silver,$111.29,4,10/05/2022,COD,5,
100383,,M,68951.13,mumbai,Silver,191.28,6,08 Jun 2021,UPI,1,
100026,34.0,F,71076.75, Mumbai,Gold,63.66,2,29/05/2021,COD,5,
100850,50.0,Male,34185.31, Chennai,Bronze,24.48,8,2020-04-21,UPI,3,
100048,41.0,nan,76637.01,mumbai,Silver,224.19,3,25 Jan 2023,COD,5,
100522,27.0,Female,80319.11, Mumbai,Gold,140.1,6,2020-11-11,Net Banking,5,
100637,36.0,Female,61070.03,nan,Gold,125.75,3,2023-03-08,Debit Card,3,
100020,37.0,male,72814.5,Chennai,Bronze,376.75,4,2023-01-12,COD,1,
100367,29.0,Male,81690.51,Hyderabad ,Silver,286.04,9,06 Nov 2021,Credit Card,2,
100341,18.0,nan,70584.83,Hyderabad,Bronze,113.85,3,29 Nov 2019,Net Banking,5,
100926,61.0,F,84576.83,CHENNAI,Bronze,81.98,7,03/12/2023,UPI,3,N/A
100676,42.0,Male,97807.08,nan,Bronze,200.37,8,28/10/2023,Debit Card,2,
100307,34.0,Female,, Delhi,Silver,99.55,8,06 Jul 2019,Credit Card,5,
100836,27.0,Male,99522.65,nan,Bronze,62.64,2,2021-04-26,UPI,3,
100430,43.0,M,56078.61,Delhi ,Silver,271.89,8,2022-04-08,Credit Card,1,
100824,24.0,Female,87007.41,nan,Silver,75.81,5,2022-09-14,Debit Card,3,
100305,37.0,Male,3724.4,Delhi,Bronze,60.95,8,2019-03-07,Credit Card,1,
100356,41.0,Female,20610.51,Bengaluru,nan,150.43,3,2019-04-11,UPI,1,
100178,40.0,Male,57712.45, Bengaluru,Gold,118.81,-1,07-15-2021,Debit Card,2,
100946,34.0,Female,96518.41,chennai,Silver,189.31,2,04-04-2022,UPI,3,
100061,18.0,Female,55130.64,mumbai,Gold,94.12,1,2020-10-10,Credit Card,3,
100310,59.0,Male,89704.95, Mumbai,Silver,20.15,1,2021-07-24,UPI,3,
100893,33.0,female,126190.62,bengaluru,Bronze,54.6,9,18/07/2023,Debit Card,3,
100302,20.0,Male,77625.49,CHENNAI,nan,22.78,1,08/01/2021,Credit Card,1,
100921,34.0,Male,73432.34, Chennai,Bronze,151.98,5,,UPI,3,
100595,23.0,Male,46169.25,hyderabad,nan,89.06,2,25 Jun 2022,UPI,2,
100762,46.0,Female,99548.37,BENGALURU,nan,176.45,4,07/01/2023,COD,5,
100108,34.0,male,,nan,Platinum,40.42,6,29 Aug 2022,UPI,5,
100748,44.0,Male,-50000.0,delhi,Platinum,201.07,4,,Debit Card,4,
100238,36.0,Male,77216.9,chennai,Silver,268.81,9,08/03/2019,Debit Card,3,
100807,36.0,nan,55723.99,delhi,Silver,68.82,6,31 May 2022,Credit Card,3,
100100,27.0,female,58156.94,Chennai,Bronze,177.98,8,07-05-2021,Debit Card,1,
100251,34.0,M,49632.89, Mumbai,Bronze,133.13,3,28/01/2020,COD,3,
100834,33.0,Male,47889.47,nan,Silver,511.49,1,09-24-2022,Debit Card,2,
100475,45.0,female,117072.53,delhi,Gold,109.32,9,,UPI,3,
100704,37.0,female,60207.66,Delhi ,Bronze,39.27,5,09/05/2020,Credit Card,4,
100942,49.0,Male,64977.61,chennai,Silver,61.18,1,08-24-2023,UPI,5,
100384,23.0,Male,41296.31,chennai,Platinum,140.14,4,2020-11-11,Debit Card,4,
100681,48.0,male,27043.71,nan,Bronze,147.16,8,28/05/2022,Credit Card,5,
100182,41.0,Male,48065.12,Bengaluru,Gold,150.99,9,24/08/2019,Credit Card,3,
100013,39.0,M,59958.74,nan,Bronze,82.9,1,2022-08-31,UPI,4,N/A
100614,200.0,Female,74204.37,mumbai,Silver,64.84,1,02-13-2021,Net Banking,5,
100086,44.0,female,, Hyderabad,Silver,55.16,3,25 Sep 2023,UPI,2,
100321,47.0,F,87829.62,CHENNAI,Silver,131.65,4,12-25-2020,Debit Card,1,
100650,33.0,male,51308.88,nan,Platinum,89.41,3,2019-06-10,Debit Card,4,
100711,38.0,F,60568.08, Mumbai,Bronze,200.08,4,25 Jun 2022,Debit Card,1,
100386,28.0,M,68001.62, Mumbai,Silver,124.08,7,26 Feb 2019,Credit Card,1,
100891,28.0,Female,77657.37,Mumbai,Bronze,89.52,8,06-26-2022,UPI,1,
100440,43.0,Female,46979.32,bengaluru,Bronze,200.76,5,02/11/2020,Credit Card,5,
100136,26.0,Female,93017.64,HYDERABAD,Silver,204.42,4,07-24-2021,Net Banking,2,
100568,30.0,F,77288.8, Mumbai,Silver,332.5,2,10/03/2021,UPI,3,
100299,21.0,Female,55890.38,DELHI,Gold,166.3,1,08 Aug 2021,Credit Card,3,
100161,26.0,Female,111756.9,Hyderabad,Bronze,103.66,9,29/07/2022,Debit Card,4,
100269,39.0,nan,58900.54, Mumbai,Gold,316.71,8,07/11/2021,UPI,1,
100659,53.0,Female,64151.32,HYDERABAD,Bronze,10.25,5,19 Feb 2021,Debit Card,1,
100171,30.0,Male,58356.63,Hyderabad ,Gold,70.13,5,21/06/2022,Credit Card,3,
100642,46.0,Female,52940.43,chennai,Silver,137.99,4,20/11/2023,Net Banking,5,
100907,35.0,male,54256.12,nan,Bronze,$48.17,2,2022-07-06,Credit Card,1,
100806,51.0,Female,76118.24,Hyderabad ,Silver,285.59,2,2021-09-25,Net Banking,1,
100894,38.0,M,43278.53,Mumbai,Gold,144.9,9,2020-11-30,Net Banking,2,
100390,21.0,Male,96399.97,mumbai,Bronze,$84.17,1,20/08/2020,Credit Card,2,
100122,40.0,nan,67637.48,Hyderabad,Platinum,229.93,5,08 Feb 2022,Net Banking,3,
100838,55.0,Male,70566.66,nan,Bronze,57.53,8,02-01-2019,Credit Card,4,
100188,23.0,M,78549.7,Delhi,Bronze,82.88,1,30 Nov 2020,UPI,3,
100017,42.0,nan,49655.66,Mumbai,Silver,161.0,9,2021-07-07,UPI,5,
100774,54.0,male,85390.22,HYDERABAD,Bronze,45.47,9,06 Jan 2022,Net Banking,4,
100494,43.0,female,50944.9, Mumbai,Bronze,172.4,9,27/03/2020,Debit Card,2,
100342,,Male,92375.69,nan,Silver,134.52,6,18 Aug 2022,Credit Card,2,
100427,48.0,F,61334.05,nan,Bronze,64.22,2,01/11/2019,UPI,3,
100468,61.0,F,84910.79,Bengaluru,nan,60.59,7,07 May 2022,UPI,2,
100107,27.0,Male,66075.05,CHENNAI,Gold,248.42,5,06 Nov 2021,Credit Card,3,
100409,23.0,Female,63265.91,Hyderabad ,Bronze,215.5,8,07 Feb 2021,Debit Card,2,
100024,36.0,Female,66757.35,nan,Gold,191.55,4,04-06-2022,Debit Card,3,
100832,57.0,Male,82485.55,Hyderabad,Gold,139.18,2,01/07/2021,Debit Card,5,
100070,36.0,Female,83452.79, Chennai,Silver,86.83,7,30/09/2021,Net Banking,5,
100901,43.0,male,51449.77,nan,Bronze,149.22,2,30 Oct 2022,UPI,4,
100677,67.0,Male,54727.27,mumbai,Bronze,118.82,9,2021-04-09,Debit Card,1,
100802,25.0,Male,60113.42,Delhi,Bronze,173.81,2,28 Jan 2020,Credit Card,5,
100600,19.0,female,110459.84,Mumbai ,Gold,258.15,8,22/03/2022,COD,3,
100644,40.0,Female,27863.79,hyderabad,Bronze,67.05,8,15 Jun 2022,UPI,4,
100340,45.0,Female,81528.15, Chennai,Bronze,65.27,,03/06/2022,Net Banking,3,
100702,35.0,Male,55712.39,Delhi ,Silver,88.36,6,11-23-2020,Debit Card,3,
100874,39.0,Male,51708.27,MUMBAI,Silver,89.42,8,2019-04-20,COD,1,
100075,40.0,Female,45113.3,Mumbai,Silver,152.67,2,04-16-2019,Credit Card,4,
100219,36.0,nan,75979.66, Chennai,Gold,22.79,9,2021-09-25,Debit Card,1,
100526,33.0,Male,62558.32, Hyderabad,Gold,65.93,8,04 Mar 2021,Debit Card,1,
100266,,Female,64218.02,HYDERABAD,Silver,111.04,8,04-16-2020,Net Banking,1,
100892,31.0,Male,49331.98,Mumbai,Silver,255.09,8,01/10/2019,Credit Card,1,
100111,43.0,Female,72741.17,nan,Platinum,211.08,1,31/10/2020,Debit Card,4,
100436,31.0,nan,70814.66, Bengaluru,Platinum,59.7,7,02/04/2021,Net Banking,2,
100363,50.0,male,,CHENNAI,nan,150.01,9,2020-11-25,Credit Card,3,
100633,33.0,nan,69094.13, Delhi,Bronze,198.09,2,22 May 2021,Credit Card,3,
100186,56.0,Male,71650.65,nan,Bronze,67.34,2,2023-09-24,Debit Card,1,
100287,41.0,Female,69933.66,nan,Bronze,77.72,5,2022-02-11,Credit Card,4,
100583,34.0,MALE,23299.43,delhi,nan,118.36,9,2019-03-07,COD,4,
100900,,Male,28129.05,delhi,Silver,169.85,9,2019-05-16,Credit Card,4,
100460,38.0,Male,34556.01,nan,Silver,14.92,9,10-25-2023,Credit Card,1,
100416,40.0,Male,32823.87,Bengaluru ,Silver,100.57,8,10-22-2022,Credit Card,4,
100062,34.0,F,78189.68,Hyderabad,Bronze,214.66,7,2021-02-13,Debit Card,1,
100348,45.0,nan,109687.72,Hyderabad,Silver,49.66,9,2022-09-15,UPI,3,
100350,56.0,male,73389.3,chennai,Bronze,139.57,8,07-14-2019,Credit Card,2,
100732,39.0,Female,81707.54,nan,Silver,$34.94,3,02/04/2020,Credit Card,2,
100717,19.0,Male,60204.58, Mumbai,Silver,104.05,8,2021-08-08,UPI,4,
